draw_date,num1,num2,num3,num4,num5,num6,game_cd,RESULT
2017-11-03 00:00:00.0,46,25,58,44,41,19,5,462558444119
2017-11-05 00:00:00.0,55,48,54,51,45,50,5,554854514550
2017-11-07 00:00:00.0,57,4,2,38,21,44,5,570402382144
2017-11-10 00:00:00.0,35,47,43,40,10,14,5,354743401014
2017-11-12 00:00:00.0,12,44,14,18,31,16,5,124414183116
2017-11-14 00:00:00.0,11,18,23,10,41,34,5,111823104134
2017-11-17 00:00:00.0,17,12,51,26,21,8,5,171251262108
2017-11-19 00:00:00.0,14,51,49,27,24,22,5,145149272422
2017-11-21 00:00:00.0,22,58,54,51,10,27,5,225854511027
2017-11-24 00:00:00.0,45,8,33,12,17,58,5,450833121758
2017-11-26 00:00:00.0,10,52,30,41,12,6,5,105230411206
2017-11-28 00:00:00.0,12,42,9,52,55,6,5,124209525506
2017-12-01 00:00:00.0,3,52,30,17,8,1,5,035230170801
2017-12-03 00:00:00.0,15,40,43,14,47,23,5,154043144723
2017-12-05 00:00:00.0,39,57,1,20,40,22,5,395701204022
2017-12-08 00:00:00.0,13,51,28,5,44,4,5,135128054404
2017-12-10 00:00:00.0,45,53,22,24,47,5,5,455322244705
2017-12-12 00:00:00.0,26,49,22,3,41,44,5,264922034144
2017-12-15 00:00:00.0,51,39,38,43,25,2,5,513938432502
2017-12-17 00:00:00.0,22,35,45,40,37,26,5,223545403726
2017-12-19 00:00:00.0,13,50,8,45,7,16,5,135008450716
2017-12-22 00:00:00.0,51,22,32,43,19,2,5,512232431902
2017-12-24 00:00:00.0,57,37,35,5,49,36,5,573735054936
2017-12-26 00:00:00.0,22,41,9,44,35,46,5,224109443546
2017-12-29 00:00:00.0,15,57,1,12,24,9,5,155701122409
2017-12-31 00:00:00.0,43,6,14,24,15,25,5,430614241525
2018-01-02 00:00:00.0,33,39,10,26,7,32,5,333910260732
2018-01-05 00:00:00.0,21,57,26,29,16,4,5,215726291604
2018-01-07 00:00:00.0,56,45,39,35,42,14,5,564539354214
2018-01-09 00:00:00.0,39,12,31,16,29,17,5,391231162917
2018-01-12 00:00:00.0,24,10,18,40,33,1,5,241018403301
2018-01-14 00:00:00.0,15,53,55,12,34,14,5,155355123414
2018-01-16 00:00:00.0,1,41,31,13,29,24,5,014131132924
2018-01-19 00:00:00.0,50,32,15,53,29,52,5,503215532952
2018-01-21 00:00:00.0,12,40,21,44,57,28,5,124021445728
2018-01-23 00:00:00.0,19,17,13,53,56,15,5,191713535615
2018-01-26 00:00:00.0,7,57,51,8,53,16,5,075751085316
2018-01-28 00:00:00.0,9,49,47,43,16,42,5,094947431642
2018-01-30 00:00:00.0,7,10,13,15,3,55,5,071013150355
2018-02-02 00:00:00.0,56,34,53,1,28,46,5,563453012846
2018-02-04 00:00:00.0,48,57,13,51,2,15,5,485713510215
2018-02-06 00:00:00.0,57,53,39,50,35,18,5,575339503518
2018-02-09 00:00:00.0,46,7,17,1,41,34,5,460717014134
2018-02-11 00:00:00.0,28,49,46,32,29,54,5,284946322954
2018-02-13 00:00:00.0,33,5,38,51,52,10,5,330538515210
2018-02-16 00:00:00.0,15,31,28,25,42,11,5,153128254211
2018-02-18 00:00:00.0,5,20,43,25,48,35,5,052043254835
2018-02-20 00:00:00.0,32,18,33,8,1,29,5,321833080129
2018-02-23 00:00:00.0,17,1,8,24,39,7,5,170108243907
2018-02-25 00:00:00.0,53,30,47,54,2,35,5,533047540235
2018-02-27 00:00:00.0,19,17,23,6,54,27,5,191723065427
2018-03-02 00:00:00.0,28,39,46,22,25,26,5,283946222526
2018-03-04 00:00:00.0,58,26,11,51,43,39,5,582611514339
2018-03-06 00:00:00.0,57,56,17,36,18,7,5,575617361807
2018-03-09 00:00:00.0,44,6,1,53,45,27,5,440601534527
2018-03-11 00:00:00.0,13,11,16,40,55,25,5,131116405525
2018-03-13 00:00:00.0,49,9,30,50,33,4,5,490930503304
2018-03-16 00:00:00.0,42,55,46,30,2,58,5,425546300258
2018-03-18 00:00:00.0,15,39,38,13,34,51,5,153938133451
2018-03-20 00:00:00.0,31,18,6,48,15,58,5,311806481558
2018-03-23 00:00:00.0,16,54,41,6,29,46,5,165441062946
2018-03-25 00:00:00.0,49,25,1,22,34,8,5,492501223408
2018-03-27 00:00:00.0,21,38,24,16,22,50,5,213824162250
